Years,CO2,CH4,N2O,HFC-134a,HFC-23,HFC-32,HFC-125,HFC-143a,HFC-152a,HFC-227ea,HFC-236fa,HFC-245fa,HFC-365mfc,HFC-43-10mee,NF3,SF6,SO2F2,CF4,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,c-C4F8,CFC-12,CFC-11,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CH3CCl3,CCl4,CH3Cl,CH2Cl2,CHCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CFC-12-eq,HFC-134a-eq,CFC-11-eq
1850,284.3169998547858,808.2490268668049,273.0210490074822,0,0,0.00021838889451836912,0,0,0,3.952903822128836e-06,0,0,0,0,0,0,2.1002043139006717e-05,34.04999999684177,1.2887821641091725e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15330983033324,32.110199928669736
1851,284.45099984933194,808.4141052584013,273.094048702186,0,0,0.00022092830026858269,0,0,0,3.998867820060566e-06,0,0,0,0,0,0,2.1249125999465618e-05,34.04999999684185,1.031025731287338e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15332605577473,32.1102099135568
1852,284.597999840503,809.1631280597403,273.16804906846687,0,0,0.00022346770601879625,0,0,0,4.044831817992298e-06,0,0,0,0,0,0,2.1496208859924526e-05,34.04999999684168,2.0667359807722727e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15334436813381,32.110221182700855
1853,284.7309998285684,810.4040595628964,273.26404821393925,0,0,0.0002260071117690098,0,0,0,4.090795815924028e-06,0,0,0,0,0,0,2.1743291720383427e-05,34.0499999968415,3.1074454938620136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153362758606374,32.110232499914744
1854,284.84599980594913,811.7321432957962,273.3630485055911,0,0,0.0002285465175192234,0,0,0,4.136759813855759e-06,0,0,0,0,0,0,2.1990374580842324e-05,34.04999999684134,4.151325075149365e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15338119861127,32.11024384761006
1855,284.94099979565135,813.3320441591464,273.47004813718553,0,0,0.00023108592326943705,0,0,0,4.182723811787489e-06,0,0,0,0,0,0,2.2237457441301236e-05,34.049999996841166,5.200285956436691e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153399718011467,32.11025524416403
1856,285.0489997825848,814.7961228991248,273.5780481931136,0,0,0.0002336253290196506,0,0,0,4.228687809719219e-06,0,0,0,0,0,0,2.2484540301760133e-05,34.049999996840974,6.25495738772403e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153418326639002,32.110266695627125
1857,285.2039997728402,816.452119083236,273.6750481302316,0,0,0.00023616473476986417,0,0,0,4.27465180765095e-06,0,0,0,0,0,0,2.2731623162219034e-05,34.04999999684082,7.315969619011394e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.15343703434155,32.11027820805946
1858,285.3689997653241,818.3551329821161,273.75604947623236,0,0,0.00023870414052007776,0,0,0,4.320615805582681e-06,0,0,0,0,0,0,2.297870602267794e-05,34.04999999684062,8.383950850298769e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.1534558509347,32.1102897875014
1859,285.54499975017956,820.3960802856569,273.8950472347156,0,0,0.00024124354627029138,0,0,0,4.366579803514412e-06,0,0,0,0,0,0,2.3225788883136847e-05,34.04999999684044,9.459531581586087e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000428677873512,457.00000000000017,6.912761280220138,6,5.2999978176457105,0.0044465725806451615,0,0,16.512882526877547,19.153474786270056,32.11030144001546
